"run","test","depth","selected_gpu","device","backend","mean_tokens_per_second","sd_tokens_per_second"
"intel-sycl-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","1172.082569","47.775965"
"intel-sycl-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","77.695988","10.265358"
"intel-sycl-depth2048","Generation 256","2048","Intel Arc Pro B70","SYCL0","SYCL","72.83892","0.27241"
"intel-sycl-repeat-depth0","Prompt processing 512","0","Intel Arc Pro B70","SYCL0","SYCL","1252.820604","3.004581"
"intel-sycl-repeat-depth0","Generation 256","0","Intel Arc Pro B70","SYCL0","SYCL","83.505046","0.270528"
"intel-vulkan-depth0","Prompt processing 512","0","Intel Arc Pro B70","Vulkan1","Vulkan","2548.869875","223.324914"
"intel-vulkan-depth0","Generation 256","0","Intel Arc Pro B70","Vulkan1","Vulkan","20.229451","0.169184"
"intel-vulkan-depth2048","Generation 256","2048","Intel Arc Pro B70","Vulkan1","Vulkan","45.68641","0.089258"
"intel-vulkan-repeat-depth0","Prompt processing 512","0","Intel Arc Pro B70","Vulkan1","Vulkan","2945.253634","46.040867"
"intel-vulkan-repeat-depth0","Generation 256","0","Intel Arc Pro B70","Vulkan1","Vulkan","20.430074","0.1271"
"nvidia-cuda-depth0","Prompt processing 512","0","NVIDIA RTX 5060 Laptop GPU","CUDA0","CUDA","2499.242882","198.10784"
"nvidia-cuda-depth0","Generation 256","0","NVIDIA RTX 5060 Laptop GPU","CUDA0","CUDA","67.091562","0.795381"
"nvidia-cuda-depth2048","Generation 256","2048","NVIDIA RTX 5060 Laptop GPU","CUDA0","CUDA","62.005866","1.415181"
"nvidia-vulkan-depth0","Prompt processing 512","0","NVIDIA RTX 5060 Laptop GPU","Vulkan2","Vulkan","2219.146074","162.16902"
"nvidia-vulkan-depth0","Generation 256","0","NVIDIA RTX 5060 Laptop GPU","Vulkan2","Vulkan","64.397618","1.155568"
"nvidia-vulkan-depth2048","Generation 256","2048","NVIDIA RTX 5060 Laptop GPU","Vulkan2","Vulkan","60.081314","0.145006"
